gid,lbl,val,geometry,result
다사478445,443.00,443.0,"POLYGON ((947800 1944500, 947800 1944600, 947900 1944600, 947900 1944500, 947800 1944500))",774.375
다사460494,65.00,65.0,"POLYGON ((946000 1949400, 946000 1949500, 946100 1949500, 946100 1949400, 946000 1949400))",298.875
다사476458,333.00,333.0,"POLYGON ((947600 1945800, 947600 1945900, 947700 1945900, 947700 1945800, 947600 1945800))",665.125
다사469458,686.00,686.0,"POLYGON ((946900 1945800, 946900 1945900, 947000 1945900, 947000 1945800, 946900 1945800))",1108.5
다사466489,546.00,546.0,"POLYGON ((946600 1948900, 946600 1949000, 946700 1949000, 946700 1948900, 946600 1948900))",814.375
다사484450,347.00,347.0,"POLYGON ((948400 1945000, 948400 1945100, 948500 1945100, 948500 1945000, 948400 1945000))",665.25
다사476480,623.00,623.0,"POLYGON ((947600 1948000, 947600 1948100, 947700 1948100, 947700 1948000, 947600 1948000))",1126.625
다사467445,295.00,295.0,"POLYGON ((946700 1944500, 946700 1944600, 946800 1944600, 946800 1944500, 946700 1944500))",425.625
다사490458,94.00,94.0,"POLYGON ((949000 1945800, 949000 1945900, 949100 1945900, 949100 1945800, 949000 1945800))",231.625
다사495476,190.00,190.0,"POLYGON ((949500 1947600, 949500 1947700, 949600 1947700, 949600 1947600, 949500 1947600))",299.875
다사465486,348.00,348.0,"POLYGON ((946500 1948600, 946500 1948700, 946600 1948700, 946600 1948600, 946500 1948600))",602.375
다사475455,107.00,107.0,"POLYGON ((947500 1945500, 947500 1945600, 947600 1945600, 947600 1945500, 947500 1945500))",390.0
다사482455,296.00,296.0,"POLYGON ((948200 1945500, 948200 1945600, 948300 1945600, 948300 1945500, 948200 1945500))",693.25
다사465490,310.00,310.0,"POLYGON ((946500 1949000, 946500 1949100, 946600 1949100, 946600 1949000, 946500 1949000))",539.125
다사469475,314.00,314.0,"POLYGON ((946900 1947500, 946900 1947600, 947000 1947600, 947000 1947500, 946900 1947500))",605.5
다사474443,376.00,376.0,"POLYGON ((947400 1944300, 947400 1944400, 947500 1944400, 947500 1944300, 947400 1944300))",689.625
다사477479,536.00,536.0,"POLYGON ((947700 1947900, 947700 1948000, 947800 1948000, 947800 1947900, 947700 1947900))",888.875
다사479458,121.00,121.0,"POLYGON ((947900 1945800, 947900 1945900, 948000 1945900, 948000 1945800, 947900 1945800))",314.25
다사469483,559.00,559.0,"POLYGON ((946900 1948300, 946900 1948400, 947000 1948400, 947000 1948300, 946900 1948300))",871.0
다사478449,218.00,218.0,"POLYGON ((947800 1944900, 947800 1945000, 947900 1945000, 947900 1944900, 947800 1944900))",508.25
다사473454,753.00,753.0,"POLYGON ((947300 1945400, 947300 1945500, 947400 1945500, 947400 1945400, 947300 1945400))",1130.625
