기간,자치구,동,전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구
기간,자치구,동,전체인구,전체인구,전체인구,합계,합계,합계,내국인,내국인,내국인,외국인,외국인,외국인
기간,자치구,동,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2020,성북구,성북동,"17,404","8,088","9,316","3,074","1,303","1,771","3,053","1,292","1,761",21,11,10
2020,성북구,삼선동,"24,144","11,454","12,690","3,912","1,646","2,266","3,901","1,638","2,263",11,8,3
2020,성북구,동선동,"16,246","6,734","9,512","2,281",954,"1,327","2,263",944,"1,319",18,10,8
2020,성북구,종암동,"41,353","20,142","21,211","6,638","2,770","3,868","6,629","2,765","3,864",9,5,4
2020,성북구,석관동,"36,483","18,033","18,450","6,910","3,110","3,800","6,887","3,100","3,787",23,10,13
2020,강북구,소계,"311,569","151,466","160,103","63,422","27,275","36,147","63,313","27,225","36,088",109,50,59
2020,강북구,번1동,"19,441","9,712","9,729","3,569","1,599","1,970","3,558","1,592","1,966",11,7,4
2020,강북구,번2동,"16,544","8,016","8,528","3,948","1,583","2,365","3,945","1,583","2,362",3,-,3
2020,강북구,번3동,"17,605","8,268","9,337","4,609","1,772","2,837","4,609","1,772","2,837",-,-,-
2020,강북구,수유1동,"21,468","10,600","10,868","4,423","1,958","2,465","4,419","1,955","2,464",4,3,1
2020,강북구,수유2동,"21,595","10,317","11,278","4,714","1,997","2,717","4,708","1,994","2,714",6,3,3
2020,강북구,수유3동,"23,907","11,801","12,106","4,560","1,996","2,564","4,553","1,992","2,561",7,4,3
2020,강북구,삼양동,"24,742","12,309","12,433","4,888","2,196","2,692","4,886","2,195","2,691",2,1,1
2020,강북구,미아동,"22,723","10,909","11,814","4,454","1,924","2,530","4,437","1,917","2,520",17,7,10
2020,강북구,송중동,"30,934","14,819","16,115","6,006","2,622","3,384","5,986","2,614","3,372",20,8,12
2020,강북구,송천동,"27,871","13,811","14,060","6,153","2,729","3,424","6,138","2,722","3,416",15,7,8
2020,강북구,삼각산동,"32,118","15,441","16,677","4,371","1,806","2,565","4,364","1,804","2,560",7,2,5
2020,강북구,우이동,"21,076","10,254","10,822","4,790","2,101","2,689","4,780","2,094","2,686",10,7,3
2020,강북구,인수동,"31,545","15,209","16,336","6,937","2,992","3,945","6,930","2,991","3,939",7,1,6
2020,도봉구,소계,"327,361","159,420","167,941","62,059","27,726","34,333","62,009","27,704","34,305",50,22,28
2020,도봉구,쌍문1동,"22,016","10,569","11,447","4,430","1,983","2,447","4,428","1,982","2,446",2,1,1
2020,도봉구,쌍문2동,"19,406","9,338","10,068","3,798","1,633","2,165","3,795","1,632","2,163",3,1,2
2020,도봉구,쌍문3동,"16,922","8,196","8,726","3,397","1,497","1,900","3,394","1,494","1,900",3,3,-
2020,도봉구,쌍문4동,"19,297","9,099","10,198","2,981","1,329","1,652","2,980","1,328","1,652",1,1,-
2020,도봉구,방학1동,"29,236","14,513","14,723","5,606","2,586","3,020","5,597","2,583","3,014",9,3,6
2020,도봉구,방학2동,"20,473","10,330","10,143","4,277","1,940","2,337","4,275","1,940","2,335",2,-,2
2020,도봉구,방학3동,"27,973","13,613","14,360","4,815","2,094","2,721","4,814","2,094","2,720",1,-,1
2020,도봉구,창1동,"25,400","12,091","13,309","4,457","1,935","2,522","4,447","1,930","2,517",10,5,5
2020,도봉구,창2동,"29,912","14,597","15,315","5,065","2,274","2,791","5,062","2,274","2,788",3,-,3
2020,도봉구,창3동,"14,402","7,162","7,240","2,902","1,278","1,624","2,899","1,278","1,621",3,-,3
2020,도봉구,창4동,"27,286","13,109","14,177","4,098","1,791","2,307","4,094","1,788","2,306",4,3,1
2020,도봉구,창5동,"25,308","12,150","13,158","4,229","1,907","2,322","4,228","1,906","2,322",1,1,-
2020,도봉구,도봉1동,"21,810","11,008","10,802","5,658","2,595","3,063","5,652","2,593","3,059",6,2,4
2020,도봉구,도봉2동,"27,920","13,645","14,275","6,346","2,884","3,462","6,344","2,882","3,462",2,2,-
2020,노원구,소계,"527,032","254,188","272,844","85,489","36,080","49,409","85,420","36,050","49,370",69,30,39
2020,노원구,월계1동,"23,085","11,903","11,182","4,216","1,904","2,312","4,213","1,902","2,311",3,2,1
2020,노원구,월계2동,"27,615","13,295","14,320","5,691","2,382","3,309","5,688","2,381","3,307",3,1,2
2020,노원구,월계3동,"30,790","14,742","16,048","5,906","2,515","3,391","5,902","2,515","3,387",4,-,4
2020,노원구,공릉2동,"40,360","19,676","20,684","5,198","2,321","2,877","5,191","2,318","2,873",7,3,4
2020,노원구,하계1동,"27,965","13,476","14,489","4,347","1,614","2,733","4,345","1,614","2,731",2,-,2
2020,노원구,하계2동,"22,723","10,825","11,898","3,128","1,244","1,884","3,125","1,243","1,882",3,1,2
2020,노원구,중계본동,"24,942","12,220","12,722","2,565","1,124","1,441","2,564","1,123","1,441",1,1,-
2020,노원구,중계1동,"27,556","13,407","14,149","2,323",952,"1,371","2,319",950,"1,369",4,2,2
2020,노원구,중계4동,"20,752","10,017","10,735","3,957","1,568","2,389","3,952","1,566","2,386",5,2,3
2020,노원구,상계1동,"39,204","19,015","20,189","6,837","3,105","3,732","6,821","3,099","3,722",16,6,10
2020,노원구,상계2동,"20,692","10,217","10,475","3,284","1,511","1,773","3,283","1,510","1,773",1,1,-
2020,노원구,상계5동,"24,797","12,030","12,767","4,986","2,113","2,873","4,985","2,112","2,873",1,1,-
2020,노원구,상계8동,"22,963","11,022","11,941","2,790","1,158","1,632","2,789","1,157","1,632",1,1,-
2020,노원구,상계9동,"21,221","10,068","11,153","3,323","1,405","1,918","3,319","1,401","1,918",4,4,-
2020,노원구,상계10동,"17,631","8,133","9,498","2,457","1,056","1,401","2,457","1,056","1,401",-,-,-
2020,노원구,상계3.4동,"27,184","13,494","13,690","6,059","2,650","3,409","6,057","2,649","3,408",2,1,1
2020,노원구,상계6.7동,"33,642","15,610","18,032","4,866","2,001","2,865","4,863","2,000","2,863",3,1,2
2020,노원구,중계2.3동,"35,586","16,390","19,196","7,220","2,664","4,556","7,217","2,663","4,554",3,1,2
2020,노원구,공릉1동,"38,324","18,648","19,676","6,336","2,793","3,543","6,330","2,791","3,539",6,2,4
2020,은평구,소계,"484,043","231,998","252,045","85,187","36,850","48,337","85,010","36,758","48,252",177,92,85
2020,은평구,녹번동,"37,815","18,019","19,796","6,875","2,934","3,941","6,841","2,914","3,927",34,20,14
2020,은평구,불광1동,"40,022","18,932","21,090","7,691","3,251","4,440","7,675","3,242","4,433",16,9,7
2020,은평구,갈현1동,"23,396","11,396","12,000","4,393","1,922","2,471","4,388","1,919","2,469",5,3,2
2020,은평구,갈현2동,"29,239","13,824","15,415","4,900","2,104","2,796","4,889","2,102","2,787",11,2,9
2020,은평구,구산동,"32,997","16,383","16,614","6,136","2,959","3,177","6,130","2,956","3,174",6,3,3
2020,은평구,대조동,"27,579","12,840","14,739","5,001","2,124","2,877","4,986","2,118","2,868",15,6,9
2020,은평구,응암1동,"31,265","14,819","16,446","4,807","1,970","2,837","4,800","1,966","2,834",7,4,3
2020,은평구,응암2동,"27,776","13,485","14,291","3,766","1,598","2,168","3,753","1,590","2,163",13,8,5
2020,은평구,신사1동,"27,776","13,395","14,381","4,821","2,120","2,701","4,814","2,116","2,698",7,4,3
2020,은평구,신사2동,"20,945","10,434","10,511","3,848","1,683","2,165","3,843","1,680","2,163",5,3,2
2020,은평구,증산동,"15,487","7,542","7,945","3,105","1,418","1,687","3,097","1,413","1,684",8,5,3
2020,은평구,수색동,"11,258","5,554","5,704","2,032",861,"1,171","2,025",859,"1,166",7,2,5
2020,은평구,진관동,"57,256","26,864","30,392","8,028","3,484","4,544","8,017","3,478","4,539",11,6,5
2020,은평구,불광2동,"28,740","13,929","14,811","5,877","2,551","3,326","5,863","2,544","3,319",14,7,7
2020,은평구,응암3동,"25,553","12,448","13,105","5,600","2,343","3,257","5,595","2,341","3,254",5,2,3
2020,은평구,역촌동,"46,939","22,134","24,805","8,307","3,528","4,779","8,294","3,520","4,774",13,8,5
2020,서대문구,소계,"322,952","153,152","169,800","54,204","22,990","31,214","53,756","22,761","30,995",448,229,219
2020,서대문구,천연동,"18,049","8,570","9,479","3,302","1,327","1,975","3,290","1,323","1,967",12,4,8
2020,서대문구,홍제1동,"24,604","11,561","13,043","4,519","1,920","2,599","4,494","1,906","2,588",25,14,11
2020,서대문구,홍제3동,"15,983","7,734","8,249","3,617","1,509","2,108","3,610","1,506","2,104",7,3,4
2020,서대문구,홍제2동,"14,334","6,817","7,517","2,730","1,128","1,602","2,719","1,123","1,596",11,5,6
2020,서대문구,홍은1동,"23,266","11,219","12,047","4,490","1,934","2,556","4,474","1,923","2,551",16,11,5
2020,서대문구,홍은2동,"27,734","13,340","14,394","5,061","2,158","2,903","5,020","2,136","2,884",41,22,19
2020,서대문구,남가좌1동,"16,141","7,752","8,389","2,151",937,"1,214","2,129",924,"1,205",22,13,9
2020,서대문구,남가좌2동,"30,996","14,834","16,162","4,838","2,032","2,806","4,819","2,022","2,797",19,10,9
2020,서대문구,북가좌1동,"18,557","8,939","9,618","2,913","1,260","1,653","2,907","1,257","1,650",6,3,3
2020,서대문구,북가좌2동,"32,947","15,989","16,958","6,288","2,748","3,540","6,262","2,736","3,526",26,12,14
2020,서대문구,충현동,"21,229","10,208","11,021","3,471","1,474","1,997","3,459","1,468","1,991",12,6,6
2020,서대문구,북아현동,"16,956","8,078","8,878","2,331",942,"1,389","2,312",930,"1,382",19,12,7
2020,서대문구,신촌동,"23,051","9,515","13,536","2,217",941,"1,276","2,190",928,"1,262",27,13,14
2020,서대문구,연희동,"39,105","18,596","20,509","6,276","2,680","3,596","6,071","2,579","3,492",205,101,104
2020,마포구,소계,"381,858","178,977","202,881","54,331","22,800","31,531","54,002","22,632","31,370",329,168,161
2020,마포구,용강동,"22,257","10,505","11,752","2,948","1,238","1,710","2,929","1,231","1,698",19,7,12
2020,마포구,대흥동,"15,863","7,422","8,441","2,111",860,"1,251","2,098",854,"1,244",13,6,7
2020,마포구,염리동,"12,864","6,064","6,800","1,753",715,"1,038","1,742",707,"1,035",11,8,3
