기간,자치구,동,총 수급자,총 수급자,총 수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,시설수급자,시설수급자
기간,자치구,동,가구,시설,인원,가구,인원,가구,인원,가구,인원,시설,인원
2020,마포구,연남동,221,-,267,178,208,41,57,2,2,-,-
2020,마포구,성산1동,372,-,530,300,408,56,99,16,23,-,-
2020,마포구,성산2동,"1,414",-,"2,166","1,170","1,687",219,438,25,41,-,-
2020,마포구,상암동,539,-,964,408,681,120,271,11,12,-,-
2020,마포구,도화동,387,-,489,337,412,47,74,3,3,-,-
2020,마포구,서강동,215,-,272,185,227,29,44,1,1,-,-
2020,마포구,공덕동,815,-,"1,046",696,868,96,144,23,34,-,-
2020,마포구,아현동,325,-,458,263,362,48,77,14,19,-,-
2020,마포구,기타,14,12,256,14,13,-,-,-,-,12,243
2020,양천구,소계,"11,131",22,"16,060","9,663","13,381","1,339","2,252",129,161,22,266
2020,양천구,목1동,233,-,322,218,302,15,20,-,-,-,-
2020,양천구,목2동,619,-,906,541,775,73,122,5,9,-,-
2020,양천구,목3동,674,-,997,592,856,80,139,2,2,-,-
2020,양천구,목4동,604,-,935,521,795,76,132,7,8,-,-
2020,양천구,신월1동,"1,265",-,"1,730","1,098","1,457",156,259,11,14,-,-
2020,양천구,신월2동,497,-,725,443,629,48,89,6,7,-,-
2020,양천구,신월3동,"1,055",-,"1,433",918,"1,229",126,192,11,12,-,-
2020,양천구,신월4동,272,-,375,240,320,27,50,5,5,-,-
2020,양천구,신월5동,496,-,710,426,591,66,114,4,5,-,-
2020,양천구,신월6동,138,-,209,129,194,5,8,4,7,-,-
2020,양천구,신월7동,719,-,"1,047",637,901,74,137,8,9,-,-
2020,양천구,신정1동,178,-,260,153,223,24,36,1,1,-,-
2020,양천구,신정2동,480,-,627,420,532,55,90,5,5,-,-
2020,양천구,신정3동,"1,307",-,"2,047","1,089","1,669",199,351,19,27,-,-
2020,양천구,신정6동,39,-,62,38,58,1,4,-,-,-,-
2020,양천구,신정7동,"1,303",-,"1,723","1,116","1,433",153,248,34,42,-,-
2020,양천구,목5동,39,-,54,37,50,2,4,-,-,-,-
2020,양천구,신정4동,"1,204",-,"1,626","1,039","1,361",158,257,7,8,-,-
2020,양천구,기타,9,22,272,8,6,1,-,-,-,22,266
2020,강서구,소계,"19,877",37,"27,797","16,990","22,448","2,118","3,897",769,"1,013",37,439
2020,강서구,염창동,145,-,200,129,175,9,17,7,8,-,-
2020,강서구,등촌1동,195,-,268,168,228,17,30,10,10,-,-
2020,강서구,등촌2동,278,-,412,237,327,34,74,7,11,-,-
2020,강서구,등촌3동,"4,074",-,"5,485","3,416","4,325",458,886,200,274,-,-
2020,강서구,화곡본동,"1,107",-,"1,665",933,"1,388",143,243,31,34,-,-
2020,강서구,화곡2동,566,-,874,458,685,101,182,7,7,-,-
2020,강서구,화곡3동,440,-,609,374,503,44,83,22,23,-,-
2020,강서구,화곡4동,700,-,"1,003",576,788,101,180,23,35,-,-
2020,강서구,화곡6동,657,-,891,536,707,89,144,32,40,-,-
2020,강서구,화곡8동,680,-,"1,005",582,823,80,157,18,25,-,-
2020,강서구,가양1동,199,-,279,173,235,21,39,5,5,-,-
2020,강서구,가양2동,"2,420",-,"3,140","2,180","2,677",172,372,68,91,-,-
2020,강서구,가양3동,"1,649",-,"2,214","1,434","1,849",147,273,68,92,-,-
2020,강서구,발산1동,770,-,"1,316",611,"1,018",110,220,49,78,-,-
2020,강서구,공항동,786,-,"1,073",661,897,83,125,42,51,-,-
2020,강서구,방화1동,746,-,"1,078",657,927,68,127,21,24,-,-
2020,강서구,방화2동,"1,120",-,"1,451",985,"1,223",93,177,42,51,-,-
2020,강서구,방화3동,"1,562",-,"2,032","1,341","1,668",175,303,46,61,-,-
2020,강서구,화곡1동,"1,365",-,"1,794","1,182","1,521",126,195,57,78,-,-
2020,강서구,우장산동,406,-,557,345,472,47,70,14,15,-,-
2020,강서구,기타,12,37,451,12,12,-,-,-,-,37,439
2020,구로구,소계,"8,534",24,"12,329","7,145","9,499",922,"1,735",467,616,24,479
2020,구로구,신도림동,132,-,180,109,140,13,24,10,16,-,-
2020,구로구,구로1동,59,-,89,53,74,4,11,2,4,-,-
2020,구로구,구로3동,310,-,394,259,322,28,41,23,31,-,-
2020,구로구,구로4동,673,-,844,542,655,88,142,43,47,-,-
2020,구로구,구로5동,338,-,409,285,338,37,53,16,18,-,-
2020,구로구,고척1동,426,-,606,351,470,58,113,17,23,-,-
2020,구로구,고척2동,745,-,"1,038",626,822,82,165,37,51,-,-
2020,구로구,개봉2동,536,-,721,434,549,64,127,38,45,-,-
2020,구로구,개봉3동,437,-,622,382,528,43,77,12,17,-,-
2020,구로구,오류1동,722,-,973,603,785,72,129,47,59,-,-
2020,구로구,수궁동,530,-,778,442,614,53,115,35,49,-,-
2020,구로구,가리봉동,553,-,657,456,521,87,124,10,12,-,-
2020,구로구,구로2동,817,-,"1,022",713,864,66,115,38,43,-,-
2020,구로구,개봉1동,"1,037",-,"1,482",898,"1,230",102,200,37,52,-,-
