자치구,읍면동명,행정동코드,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),노인인구비율,기초생활 대상자 비율
양천구,신정1동,1147062000,-30.193177435753604,3,0.0,1,83.3034111310592,0.1255575590775363,0.008446426876720129
양천구,신정2동,1147063000,-14.191493180186649,5,-2.0648967551622417,1,75.0,0.12688672242292276,0.023754144603355273
양천구,신정3동,1147064000,-14.933307926829267,5,-14.053350683148992,4,60.3550295857988,0.1456814927223374,0.027935110180178253
양천구,신정6동,1147067000,-15.267748623722028,5,-6.329113924050633,2,84.4262295081967,0.10563942806933461,0.001557632398753894
양천구,신정7동,1147068000,-12.566311980620037,3,-1.107011070110701,1,66.4536741214058,0.16066500415627596,0.04332502078137988
양천구,목5동,1147055000,-7.871686426772054,5,-0.9144350097975179,1,92.7797833935018,0.10187287173666289,0.0009222474460839954
양천구,신정4동,1147065000,-6.592356687898089,3,-1.6901408450704223,1,63.8558986539984,0.16881635518118804,0.035213945190254746
강서구,염창동,1150051000,-0.6919128041068373,2,-0.6683804627249357,1,51.4363885088919,0.10093533569745579,0.003450984125473023
강서구,등촌1동,1150052000,-47.757617254364945,0,-7.323943661971831,3,56.6619915848527,0.11541622154655272,0.008012162051113485
강서구,등촌2동,1150053000,-8.667266996848266,3,-1.5126050420168067,1,56.9832402234637,0.14592760180995476,0.013103318250377074
강서구,등촌3동,1150053500,-23.014965571562872,5,-4.640272456364411,2,67.8391959798995,0.20524320909665192,0.1286797220467467
강서구,화곡본동,1150059000,-13.437817821472345,4,-1.4285714285714286,1,55.1520653654108,0.1361882164603642,0.03164575055029873
강서구,화곡2동,1150055000,-52.882904416646745,4,-7.755102040816326,1,62.1818181818182,0.1519730869867037,0.03022374112244353
강서구,화곡3동,1150056000,-14.505792457480899,5,-1.95712954333644,2,58.7128712871287,0.18059987236758138,0.020056522928252347
강서구,화곡4동,1150057000,-16.066573288292,5,-3.3924441017733233,1,65.983860955928,0.1741932470928875,0.032690421706440015
강서구,화곡6동,1150059100,-2.859604496594732,2,-6.457345971563981,2,63.8129496402878,0.15242907730871763,0.02614093025106434
강서구,화곡8동,1150059300,-10.07832510486655,5,0.0,1,59.61188599151,0.1687310119186726,0.02648593908234011
강서구,가양1동,1150060300,40.82493756996469,0,10.993615323224262,0,58.5910652920962,0.08558193398957731,0.005761436016213086
강서구,가양2동,1150060400,-40.13325411644882,5,-1.478743068391867,2,75.6302521008403,0.26460104195228956,0.16588977241568412
강서구,가양3동,1150060500,-32.945001354646436,5,-0.8391608391608392,1,78.3333333333333,0.22896746454469613,0.10582044535711994
강서구,발산1동,1150061100,-6.306840139121474,5,30.89005235602094,0,37.5363724539282,0.12414068745003996,0.02051691979749534
강서구,공항동,1150062000,-1.4192350825631308,2,-3.991484832357637,2,62.5414888572783,0.13819813950121257,0.02845042892822239
강서구,방화1동,1150063000,3.749575015785128,3,-2.4467603081105573,1,65.5339805825243,0.1458810325476992,0.016745230078563413
강서구,방화2동,1150064000,-28.69881650985149,5,-3.7216828478964405,2,75.1670951156812,0.20284105451753262,0.04777749338793618
강서구,방화3동,1150064100,-28.411095077761743,5,-1.7741935483870968,2,72.9074889867841,0.21067141705899817,0.06625100733765958
강서구,화곡1동,1150054000,0.8350563060802537,3,-2.176360225140713,2,62.2475570032573,0.15273510678156613,0.02557137504683402
강서구,우장산동,1150061500,-5.234084940686408,5,-2.094972067039106,1,51.0008006405124,0.12821970127537682,0.009229999772660103
구로구,신도림동,1153051000,-4.161623941027616,5,-3.4990791896869244,2,82.9344432882414,0.12593851044007234,0.0036170329369211375
구로구,구로1동,1153052000,-36.81666615681116,3,-2.4734982332155475,1,70.9219858156028,0.11446005917159763,0.002727440828402367
구로구,구로3동,1153054000,-21.12569322448417,5,5.676558671385788,0,64.9323621227888,0.13470958712386283,0.012051939973563486
구로구,구로4동,1153055000,-22.596658325934296,5,4.037755637126376,1,71.3328868050904,0.18121529303663458,0.02688666054092925
구로구,구로5동,1153056000,-9.943154752453237,4,-10.52482269503546,2,79.2936288088643,0.14363462073657193,0.010451776492779615
구로구,고척1동,1153072000,-17.70792025667832,5,-3.36417157275021,3,75.0700280112045,0.18087229795727694,0.018091476621225632
구로구,고척2동,1153073000,-25.153149083928522,5,0.1694915254237288,2,81.7149346961953,0.18080637633289054,0.026747567586974472
구로구,개봉2동,1153075000,-9.995008368323692,5,-0.10976948408342481,2,57.4448529411765,0.19368055124464584,0.016636662735117016
구로구,개봉3동,1153076000,-16.90870942526844,5,-1.0012515644555695,2,64.3744821872411,0.19573388460815636,0.020531854914489757
구로구,오류1동,1153077000,6.0013584319813695,2,3.172978505629478,1,69.877408056042,0.16819349315068494,0.030907534246575344
구로구,수궁동,1153079000,-6.518506610939196,4,-1.352757544224766,1,59.4300083822297,0.1764415359920978,0.021813392599909453
구로구,가리봉동,1153059500,-30.731785172771524,5,-4.713114754098361,1,80.8088235294118,0.15165112528920985,0.03877164691860058
구로구,구로2동,1153053000,-26.26188734455011,5,-3.34290937581614,3,79.7444686818323,0.17742813918305597,0.024720121028744328
구로구,개봉1동,1153074000,-7.812847918058338,4,-4.824259131633356,1,79.6065259117082,0.17724680041998922,0.02942762280427935
구로구,오류2동,1153078000,-13.823542899069105,3,4.6553267681289165,1,59.1297591297591,0.17190290529493146,0.023342975726323732
구로구,항동,1153080000,0.0,0,-26.923076923076923,3,42.2222222222222,0.08875883930748597,0.016703243111436235
금천구,가산동,1154551000,-2.361359570661896,1,8.682416782476341,0,61.4490772385509,0.10025796018942748,0.022869903361182768
금천구,독산1동,1154561000,23.26861428657836,0,-2.1350413664264747,1,62.916939175932,0.1274015070942047,0.027946867009119504
금천구,독산2동,1154562000,-45.44693322168725,5,-10.526315789473683,2,78.9727126805779,0.16432788154456596,0.04224329817090874
금천구,독산3동,1154563000,-14.11648568608095,5,-9.265648102513554,3,72.6831635128578,0.15822673909234275,0.026598913614858947
금천구,독산4동,1154564000,-43.60288534548216,5,-7.251082251082251,2,75.4601226993865,0.1652542372881356,0.0336692624828218
금천구,시흥1동,1154567000,-4.563660283584271,5,-1.3513513513513513,1,77.6490066225166,0.17076101841759594,0.030910259635001817
금천구,시흥2동,1154568000,-19.941326627805083,5,17.117117117117118,0,52.7377521613833,0.18314321926489227,0.04200615607459714
금천구,시흥3동,1154569000,-43.75585388698096,5,-6.045340050377834,4,70.7736389684814,0.20389898094816128,0.022862206468763847
금천구,시흥4동,1154570000,-43.624426962476655,5,-10.339506172839506,2,76.0336370007008,0.1875,0.04070631970260223
금천구,시흥5동,1154571000,-41.25540854079137,5,-10.422812192723697,3,82.2247706422018,0.212465564738292,0.056621408894136166
영등포구,여의동,1156054000,-12.549376225525021,2,-3.904581058628056,2,79.2,0.18007718422656183,0.002640513013956997
영등포구,당산1동,1156055000,-16.44655824026498,1,-5.112923462986198,3,79.9120234604106,0.15785252630089164,0.019766948153040524
영등포구,당산2동,1156056000,4.1373811351957945,1,-5.821474773609314,2,61.1056268509378,0.12306963773644472,0.005287942963878877
영등포구,양평1동,1156061000,1.3879464561100487,1,-17.282321899736147,4,81.0126582278481,0.13292283357812676,0.01276691899220427
영등포구,양평2동,1156062000,3.467406380027739,2,-1.8251681075888568,2,64.172813487882,0.11126841569703137,0.009025350617174712
영등포구,신길1동,1156063000,-42.485370051635115,3,-10.072595281306715,3,79.8569069895432,0.17561433714196276,0.034538529764699746
영등포구,신길3동,1156065000,-40.898710865561696,2,-25.583657587548636,5,88.3720930232558,0.17085038151056064,0.033008957204467546
영등포구,신길4동,1156066000,-54.38255510784546,4,-35.067437379576106,4,89.1223733003708,0.17111145367658392,0.03923231077539695
영등포구,신길5동,1156067000,-61.490637799882975,4,-23.760683760683758,4,86.4676616915423,0.165893085787452,0.03265044814340589
영등포구,신길6동,1156068000,-55.50623094614109,5,-4.3591979075850045,1,72.4077328646749,0.1685805673535735,0.018404907975460124
영등포구,신길7동,1156069000,-2.4760105404464774,2,-14.351145038167939,2,71.8468468468468,0.11988874792622231,0.008685468917732019
영등포구,대림1동,1156070000,-46.78888678888679,4,-11.423390752493201,4,78.8123167155425,0.17666610331812294,0.022759281167258182
영등포구,대림2동,1156071000,-63.032324268855824,5,-1.9534184823441023,1,82.4017708909795,0.15392394822006472,0.019518608414239483
영등포구,대림3동,1156072000,-36.508934953538244,5,-5.628517823639775,3,83.9007501442585,0.1623475327179031,0.023986949912875838
영등포구,영등포본동,1156051500,-14.069885212694125,5,-5.522388059701493,2,81.8235642391948,0.17028163093736864,0.033879781420765025
영등포구,영등포동,1156053500,48.40828701364325,0,-9.838087895142637,3,75.6174461376773,0.12254339281366308,0.054262756965459666
영등포구,도림동,1156058500,-8.881630932939999,5,-5.077262693156733,1,81.4338235294118,0.16230341156544884,0.026421485603677717
영등포구,문래동,1156060500,2.0110979247522214,2,-1.7401172687724606,1,79.6759941089838,0.14018383783945626,0.007245725919937723
동작구,노량진2동,1159052000,-50.416130416130414,5,-2.53388332351208,1,94.2013129102845,0.19960035523978686,0.05580224985198342
동작구,상도1동,1159053000,-5.705641267729545,5,2.3011176857330704,1,51.0,0.14696840307429548,0.018830059777967548
동작구,상도2동,1159054000,-11.301665229217807,1,0.870253164556962,1,65.625,0.15623890348696826,0.014558625097649314
동작구,상도3동,1159055000,0.06633499170812604,3,-1.5776699029126213,1,62.6744186046512,0.170168397859616,0.027030217186024552
동작구,상도4동,1159056000,-15.372251705837755,4,-2.594033722438392,2,69.0567648314127,0.16764485088377806,0.029516140039582337
동작구,사당1동,1159062000,-14.294495025162307,1,-4.589787722317843,5,65.3846153846154,0.15584800270819227,0.023442789438050102
