과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),노인인구비율,기초생활 대상자 비율,행정동코드
-36.508934953538244,5,-5.6285178236397755,3,83.9007501442585,0.1623475327179031,0.032476921365810256,1156072000
-50.41613041613042,5,-2.53388332351208,1,94.2013129102845,0.19960035523978686,0.07312018946121966,1159052000
-60.356500128545726,2,-6.984667802385008,1,64.3872113676732,0.1796698404000274,0.03712583053633809,1159065000
-33.446590822325724,2,-6.211180124223603,2,72.36614853195171,0.16858475894245722,0.05308449974079834,1162065500
-42.212988611880576,5,0.0,1,72.32524964336659,0.17354696826892868,0.03763744894753377,1162071500
-44.16580172096293,3,-10.913140311804009,2,60.0292825768668,0.14559068219633944,0.033953826955074866,1162072500
-44.74714748556134,1,2.183288409703504,2,66.5589660743134,0.14055788927172322,0.015197998772832396,1165051000
-44.285245216560696,2,11.796008869179602,2,60.5660377358491,0.11964474713542865,0.005061893148037366,1165052000
-34.352912503046554,5,-3.2352941176470598,2,98.42519685039369,0.16203819531315153,0.003335835209740639,1165055000
-35.77852172771433,5,-2.9823493609251366,2,60.60935799782371,0.1423002864791246,0.01502841309350491,1165059000
-50.87179174541242,2,0.3798155181768855,0,55.14511873350921,0.1628214717219953,0.016684885794833442,1165060000
-39.62384443736053,5,-6.472148541114058,1,78.5914179104478,0.17128994314840226,0.020486179180552837,1165061000
-39.953709246179024,5,-16.693679092382492,4,70.48665620094191,0.17553505971384653,0.01182452406290647,1168051000
-82.49904917936865,5,-64.54293628808864,3,74.07407407407409,0.23493253373313344,0.022788605697151423,1168066000
-35.470531905632456,5,-8.098987626546682,2,87.23404255319151,0.1998483603967903,0.10223036583054276,1168073000
-36.396428100118776,3,-8.381689232753063,4,68.9497716894977,0.28825413425714097,0.2115170926204327,1168075000
-39.65810978602986,3,-24.008810572687224,3,64.1744548286604,0.14091581827151636,0.007579494999327264,1168067000
-50.22503254602939,5,-13.950073421439061,4,90.0352733686067,0.1922523140212547,0.0366129585190264,1171051000
-44.18800539083558,4,-33.160621761658035,4,82.7338129496403,0.18039317123642007,0.04097258147956544,1171053200
-50.37650982968616,2,-10.462471569370734,5,53.54691075514871,0.14021468276787424,0.018449300364193986,1171064100
-37.8132607761707,4,0.4424778761061947,1,50.0,0.13740499457111835,0.006786102062975028,1174059000
-35.860908581043184,3,-8.489525909592063,3,73.1327243417517,0.16959275292608625,0.03330928330928331,1174065000
